t,d01_err,d02_err,d12_err,o_error,o_error_deg
6.12,0.2467,0.5168,0.5798,0.4382,25.71
6.14,0.2467,0.4922,0.5634,0.4382,25.71
6.16,0.2237,0.4670,0.5374,0.4233,25.82
6.18,0.2325,0.4739,0.5374,0.4264,25.56
6.20,0.2095,0.4739,0.5297,0.4123,25.72
6.22,0.2183,0.4808,0.5297,0.4152,25.45
6.24,0.2183,0.4554,0.5113,0.4152,25.45
6.26,0.1954,0.4302,0.4851,0.4019,25.63
6.28,0.2043,0.4372,0.4851,0.4047,25.36
6.30,0.1817,0.4372,0.4782,0.3922,25.56
6.32,0.1906,0.4444,0.4782,0.3946,25.27
6.34,0.1906,0.4188,0.4583,0.3946,25.27
6.36,0.1683,0.3935,0.4318,0.3835,25.54
6.38,0.1772,0.4007,0.4318,0.3856,25.25
6.40,0.1552,0.4007,0.4267,0.3757,25.54
6.42,0.1645,0.4079,0.4267,0.3780,25.27
6.44,0.1645,0.3828,0.4056,0.3780,25.27
6.46,0.1432,0.3578,0.3792,0.3694,25.61
6.48,0.1315,0.3652,0.3756,0.3637,25.68
6.50,0.1315,0.3652,0.3756,0.3637,25.68
6.52,0.1407,0.3729,0.3756,0.3651,25.37
6.54,0.1407,0.3482,0.3526,0.3651,25.37
6.56,0.1204,0.3241,0.3261,0.3585,25.75
6.58,0.1101,0.3319,0.3239,0.3544,25.85
6.60,0.1101,0.3319,0.3239,0.3544,25.85
6.62,0.1193,0.3398,0.3239,0.3552,25.53
6.64,0.1193,0.3161,0.2998,0.3552,25.53
6.66,0.1002,0.2928,0.2735,0.3508,25.96
6.68,0.0910,0.3008,0.2722,0.3477,26.06
6.70,0.0910,0.3008,0.2722,0.3477,26.06
6.72,0.0999,0.3088,0.2722,0.3480,25.74
6.74,0.0999,0.2862,0.2472,0.3480,25.74
6.76,0.0999,0.2862,0.2472,0.3480,25.74
6.78,0.0740,0.2728,0.2206,0.3430,26.30
6.80,0.0740,0.2728,0.2206,0.3430,26.30
6.82,0.0830,0.2811,0.2206,0.3428,25.96
6.84,0.0830,0.2605,0.1951,0.3428,25.96
6.86,0.0666,0.2406,0.1708,0.3414,26.43
6.88,0.0596,0.2491,0.1713,0.3400,26.53
6.90,0.0596,0.2491,0.1713,0.3400,26.53
6.92,0.0685,0.2575,0.1713,0.3393,26.19
6.94,0.0685,0.2382,0.1468,0.3393,26.19
6.96,0.0533,0.2186,0.1245,0.3388,26.64
6.98,0.0474,0.2271,0.1260,0.3383,26.78
7.00,0.0474,0.2271,0.1260,0.3383,26.78
7.02,0.0563,0.2357,0.1260,0.3393,26.59
7.04,0.0563,0.2161,0.1041,0.3414,26.76
7.06,0.0421,0.1961,0.0853,0.3438,27.38
7.08,0.0374,0.2048,0.0866,0.3453,27.64
7.10,0.0374,0.2048,0.0866,0.3474,27.82
7.12,0.0459,0.2134,0.0866,0.3481,27.63
7.14,0.0459,0.1936,0.0674,0.3502,27.80
7.16,0.0329,0.1738,0.0510,0.3531,28.41
7.18,0.0289,0.1825,0.0530,0.3552,28.70
7.20,0.0289,0.1825,0.0530,0.3572,28.87
7.22,0.0374,0.1913,0.0530,0.3578,28.68
7.24,0.0374,0.1716,0.0353,0.3599,28.85
7.26,0.0251,0.1515,0.0197,0.3633,29.47
7.28,0.0217,0.1606,0.0218,0.3651,29.71
7.30,0.0217,0.1606,0.0218,0.3672,29.88
7.32,0.0304,0.1696,0.0218,0.3676,29.68
7.34,0.0304,0.1495,0.0042,0.3696,29.85
7.36,0.0188,0.1295,0.0109,0.3735,30.49
7.38,0.0164,0.1388,0.0086,0.3758,30.75
7.40,0.0164,0.1388,0.0086,0.3778,30.91
7.42,0.0251,0.1482,0.0086,0.3776,30.67
7.44,0.0251,0.1280,0.0257,0.3796,30.84
7.46,0.0142,0.1073,0.0405,0.3838,31.47
7.48,0.0125,0.1168,0.0379,0.3860,31.70
7.50,0.0125,0.1168,0.0379,0.3880,31.87
7.52,0.0213,0.1265,0.0379,0.3877,31.61
7.54,0.0213,0.1057,0.0548,0.3896,31.78
7.56,0.0112,0.0845,0.0683,0.3941,32.42
7.58,0.0100,0.0942,0.0656,0.3964,32.64
7.60,0.0100,0.0942,0.0656,0.3983,32.81
7.62,0.0184,0.1040,0.0656,0.3975,32.52
7.64,0.0184,0.0827,0.0805,0.3994,32.68
7.66,0.0086,0.0612,0.0910,0.4040,33.33
7.68,0.0074,0.0710,0.0885,0.4060,33.53
7.70,0.0074,0.0710,0.0885,0.4079,33.69
7.72,0.0157,0.0807,0.0885,0.4070,33.40
7.74,0.0157,0.0597,0.0995,0.4089,33.56
7.76,0.0062,0.0397,0.1064,0.4134,34.19
7.78,0.0051,0.0493,0.1038,0.4156,34.41
7.80,0.0051,0.0493,0.1038,0.4175,34.57
7.82,0.0133,0.0590,0.1038,0.4166,34.27
7.84,0.0133,0.0400,0.1108,0.4184,34.42
7.86,0.0040,0.0228,0.1149,0.4227,35.04
7.88,0.0030,0.0326,0.1128,0.4241,35.19
7.90,0.0030,0.0326,0.1128,0.4259,35.34
7.92,0.0114,0.0425,0.1128,0.4248,35.02
7.94,0.0114,0.0271,0.1173,0.4266,35.17
7.96,0.0024,0.0137,0.1205,0.4311,35.81
